"site_id","datetime","IceOn","IceOff"
"bvre",2021-01-10,1,0
"bvre",2021-01-12,0,1
"bvre",2021-01-30,1,0
"bvre",2021-01-31,0,1
"bvre",2021-02-13,1,0
"bvre",2021-02-16,0,1
"bvre",2022-01-16,1,0
"bvre",2022-01-17,0,1
"bvre",2022-01-18,1,0
"bvre",2022-01-20,0,1
"bvre",2022-01-21,1,0
"bvre",2022-01-25,0,1
"bvre",2022-01-26,1,0
"bvre",2022-01-29,0,1
"bvre",2022-01-30,1,0
"bvre",2022-02-04,0,1
"bvre",2022-02-06,1,0
"bvre",2022-02-08,0,1
"bvre",2022-12-20,1,0
"bvre",2022-12-22,0,1
"bvre",2022-12-25,1,0
"bvre",2023-01-01,0,1
"bvre",2024-01-05,1,0
"bvre",2024-01-06,0,1
"bvre",2024-01-06,1,0
"bvre",2024-01-07,0,1
"bvre",2024-01-08,1,0
"bvre",2024-01-08,0,1
"bvre",2024-01-08,1,0
"bvre",2024-01-09,0,1
"bvre",2024-01-10,1,0
"bvre",2024-01-10,0,1
"bvre",2024-01-11,1,0
"bvre",2024-01-11,0,1
"bvre",2024-01-12,1,0
"bvre",2024-01-12,0,1
"bvre",2024-01-12,1,0
"bvre",2024-01-12,0,1
"bvre",2024-01-12,1,0
"bvre",2024-01-12,0,1
"bvre",2024-01-13,1,0
"bvre",2024-01-13,0,1
"bvre",2024-01-13,1,0
"bvre",2024-01-13,0,1
"bvre",2024-01-14,1,0
"bvre",2024-01-14,0,1
"bvre",2024-01-14,1,0
"bvre",2024-01-14,0,1
"bvre",2024-01-15,1,0
"bvre",2024-01-16,0,1
"bvre",2024-01-17,1,0
"bvre",2024-01-17,0,1
"bvre",2024-01-18,1,0
"bvre",2024-01-19,0,1
"bvre",2024-01-19,1,0
"bvre",2024-01-20,0,1
"bvre",2024-01-20,1,0
"bvre",2024-01-20,0,1
"bvre",2024-01-21,1,0
"bvre",2024-01-26,0,1
"bvre",2024-01-26,1,0
"bvre",2024-01-27,0,1
"bvre",2024-01-27,1,0
"bvre",2024-01-27,0,1
"bvre",2024-01-27,1,0
"bvre",2024-01-27,0,1
"bvre",2024-01-28,1,0
"bvre",2024-01-28,0,1
"bvre",2024-01-28,1,0
"bvre",2024-01-28,0,1
"bvre",2024-01-30,1,0
"bvre",2024-01-30,0,1
"bvre",2024-01-30,1,0
"bvre",2024-01-31,0,1
"fcre",2014-01-06,1,0
"fcre",2014-01-15,0,1
"fcre",2014-01-28,1,0
"fcre",2014-02-23,0,1
"fcre",2015-01-08,1,0
"fcre",2015-01-30,0,1
"fcre",2015-02-14,1,0
"fcre",2015-03-13,0,1
"fcre",2016-01-21,1,0
"fcre",2016-02-22,0,1
"fcre",2016-12-20,1,0
"fcre",2016-12-21,0,1
"fcre",2017-01-08,1,0
"fcre",2017-01-09,0,1
"fcre",2017-01-13,1,0
"fcre",2017-01-14,0,1
"fcre",2017-12-28,1,0
"fcre",2018-01-09,0,1
"fcre",2019-01-21,1,0
"fcre",2019-01-24,0,1
"fcre",2019-01-27,1,0
"fcre",2019-02-02,0,1
"fcre",2020-12-27,1,0
"fcre",2020-12-30,0,1
"fcre",2021-01-10,1,0
"fcre",2021-01-12,0,1
"fcre",2021-01-13,1,0
"fcre",2021-01-14,0,1
"fcre",2021-01-14,1,0
"fcre",2021-01-22,0,1
"fcre",2021-01-22,1,0
"fcre",2021-01-23,0,1
"fcre",2021-01-23,1,0
"fcre",2021-01-28,0,1
"fcre",2021-01-29,1,0
"fcre",2021-02-02,0,1
"fcre",2021-02-02,1,0
"fcre",2021-02-03,0,1
"fcre",2021-02-04,1,0
"fcre",2021-02-05,0,1
"fcre",2021-02-05,1,0
"fcre",2021-02-09,0,1
"fcre",2021-02-11,1,0
"fcre",2021-02-17,0,1
"fcre",2021-02-17,1,0
"fcre",2021-02-17,0,1
"fcre",2021-02-17,1,0
"fcre",2021-02-19,0,1
"fcre",2021-02-19,1,0
"fcre",2021-02-20,0,1
"fcre",2021-02-20,1,0
"fcre",2021-02-23,0,1
"fcre",2022-01-11,1,0
"fcre",2022-01-14,0,1
"fcre",2022-01-16,1,0
"fcre",2022-02-10,0,1
"fcre",2022-12-23,1,0
"fcre",2022-12-26,1,0
"fcre",2023-01-01,1,0
"fcre",2023-01-01,0,1
"fcre",2023-01-01,1,0
"fcre",2023-01-01,0,1
"fcre",2023-01-01,1,0
"fcre",2023-01-02,0,1
"fcre",2023-01-15,1,0
"fcre",2023-01-16,0,1
"fcre",2023-01-16,1,0
"fcre",2023-01-16,0,1
"fcre",2023-01-16,1,0
"fcre",2023-01-16,0,1
"fcre",2023-01-16,1,0
"fcre",2023-01-17,0,1
"fcre",2023-01-24,1,0
"fcre",2023-01-24,0,1
"fcre",2023-01-27,1,0
"fcre",2023-01-27,0,1
"fcre",2023-01-27,1,0
"fcre",2023-01-27,0,1
"fcre",2023-01-27,1,0
"fcre",2023-01-27,0,1
"fcre",2023-01-27,1,0
"fcre",2023-01-28,0,1
"fcre",2023-01-28,1,0
"fcre",2023-01-28,0,1
"fcre",2023-02-04,1,0
"fcre",2023-02-05,0,1
"fcre",2023-02-05,1,0
"fcre",2023-02-05,0,1
"fcre",2024-01-08,1,0
"fcre",2024-01-08,0,1
"fcre",2024-01-08,1,0
"fcre",2024-01-09,0,1
"fcre",2024-01-09,1,0
"fcre",2024-01-09,0,1
"fcre",2024-01-10,1,0
"fcre",2024-01-10,0,1
"fcre",2024-01-11,1,0
"fcre",2024-01-11,0,1
"fcre",2024-01-11,1,0
"fcre",2024-01-11,0,1
"fcre",2024-01-11,1,0
"fcre",2024-01-11,0,1
"fcre",2024-01-12,1,0
"fcre",2024-01-12,0,1
"fcre",2024-01-12,1,0
"fcre",2024-01-12,0,1
"fcre",2024-01-13,1,0
"fcre",2024-01-13,0,1
"fcre",2024-01-13,1,0
"fcre",2024-01-14,0,1
"fcre",2024-01-14,1,0
"fcre",2024-01-14,0,1
"fcre",2024-01-14,1,0
"fcre",2024-01-14,0,1
"fcre",2024-01-15,1,0
"fcre",2024-01-15,0,1
"fcre",2024-01-15,1,0
"fcre",2024-01-16,0,1
"fcre",2024-01-16,1,0
"fcre",2024-01-20,0,1
"fcre",2024-01-21,1,0
"fcre",2024-01-21,0,1
"fcre",2024-01-21,1,0
"fcre",2024-01-22,0,1
"fcre",2024-01-22,1,0
"fcre",2024-01-26,0,1
